(1901,01,01,-78)
(1901,01,01,-72)
(1901,01,01,-94)
(1901,01,02,-61)
(1901,01,02,-56)
(1901,01,02,-28)
(1901,01,03,-67)
(1901,01,03,-33)
(1901,01,03,-28)
(1901,01,04,-33)
(1901,01,04,-44)
(1901,01,04,-39)
(1901,01,05,0)
(1901,01,05,6)
(1901,01,05,0)
(1901,01,06,6)
(1901,01,06,6)
(1901,01,06,-11)
(1901,01,07,-33)
(1901,01,07,-50)
(1901,01,07,-44)
(1901,01,08,-28)
(1901,01,08,-33)
(1901,01,08,-33)
(1901,01,09,-50)
(1901,01,09,-33)
(1901,01,09,-28)
(1901,01,10,-44)
(1901,01,10,-44)
(1901,01,10,-44)
(1901,01,11,-39)
(1901,01,11,-50)
(1901,01,11,-44)
(1901,01,12,-39)
(1901,01,12,-33)
(1901,01,12,-22)
(1901,01,13,0)
(1901,01,13,-6)
(1901,01,13,-17)
(1901,01,14,-44)
(1901,01,14,-39)
(1901,01,14,-33)
(1901,01,15,-6)
(1901,01,15,17)
(1901,01,15,22)
(1901,01,16,28)
(1901,01,16,28)
(1901,01,16,11)
(1901,01,17,-17)
(1901,01,17,-28)
(1901,01,17,-56)
(1901,01,18,-44)
(1901,01,18,-44)
(1901,01,18,-67)
(1901,01,19,-44)
(1901,01,19,-39)
(1901,01,19,-22)
(1901,01,20,-22)
(1901,01,20,-22)
(1901,01,20,-39)
(1901,01,21,-17)
(1901,01,21,-17)
(1901,01,21,-22)
(1901,01,22,-17)
(1901,01,22,-6)
(1901,01,22,-6)
(1901,01,23,0)
(1901,01,23,11)
(1901,01,23,0)
(1901,01,24,-6)
(1901,01,24,17)
(1901,01,24,6)
(1901,01,25,6)
(1901,01,25,6)
(1901,01,25,0)
(1901,01,26,-6)
(1901,01,26,-11)
(1901,01,26,-22)
(1901,01,27,-56)
(1901,01,27,-28)
(1901,01,27,-28)
(1901,01,28,-28)
(1901,01,28,-28)
(1901,01,28,-39)
(1901,01,29,-28)
(1901,01,29,-17)
(1901,01,29,-11)
(1901,01,30,-33)
(1901,01,30,-33)
(1901,01,30,-44)
(1901,01,31,-78)
(1901,01,31,-61)
(1901,01,31,-67)
(1901,02,01,-78)
(1901,02,01,-67)
(1901,02,01,-83)
(1901,02,02,-56)
(1901,02,02,-22)
(1901,02,02,-33)
(1901,02,03,-44)
(1901,02,03,-33)
(1901,02,03,-78)
(1901,02,04,-61)
(1901,02,04,-61)
(1901,02,04,-83)
(1901,02,05,-28)
(1901,02,05,-33)
(1901,02,05,-44)
(1901,02,06,-161)
(1901,02,06,-128)
(1901,02,06,-122)
